dia;mes;año ;hora costo marginal;
3;2;2015;3;73.633
3;2;2015;4;72.282
3;2;2015;5;71.38
3;2;2015;6;72.769
3;2;2015;7;75.29
3;2;2015;8;75.624
3;2;2015;9;142.18
3;2;2015;10;142.18
3;2;2015;11;142.18
3;2;2015;12;142.18
3;2;2015;13;142.18
3;2;2015;14;142.18
3;2;2015;15;142.18
3;2;2015;16;142.18
3;2;2015;17;142.18
3;2;2015;18;142.18
3;2;2015;19;142.18
3;2;2015;20;142.18
3;2;2015;21;100.265
3;2;2015;22;101.528
3;2;2015;23;148.324
3;2;2015;24;142.18
4;2;2015;1;148.286
4;2;2015;2;92.851
4;2;2015;3;94.02
4;2;2015;4;93.672
4;2;2015;5;81.543
4;2;2015;6;90.829
4;2;2015;7;69.933
4;2;2015;8;101.806
4;2;2015;9;102.312
4;2;2015;10;148.314
4;2;2015;11;148.329
4;2;2015;12;102.312
4;2;2015;13;102.312
4;2;2015;14;148.345
4;2;2015;15;102.312
4;2;2015;16;102.312
4;2;2015;17;102.312
4;2;2015;18;102.275
4;2;2015;19;102.312
4;2;2015;20;102.312
4;2;2015;21;102.312
4;2;2015;22;148.323
4;2;2015;23;148.353
4;2;2015;24;100.326
5;2;2015;1;82.532
5;2;2015;2;75.179
5;2;2015;3;72.074
5;2;2015;4;73.935
5;2;2015;5;71.74
5;2;2015;6;72.82
5;2;2015;7;72.937
5;2;2015;8;102.312
5;2;2015;9;102.312
5;2;2015;10;102.312
5;2;2015;11;102.312
5;2;2015;12;102.312
5;2;2015;13;148.296
5;2;2015;14;148.323
5;2;2015;15;148.325
5;2;2015;16;148.346
5;2;2015;17;102.312
5;2;2015;18;142.322
5;2;2015;19;102.312
5;2;2015;20;102.312
5;2;2015;21;102.312
5;2;2015;22;102.312
5;2;2015;23;102.312
5;2;2015;24;102.312
6;2;2015;1;148.275
6;2;2015;2;101.182
6;2;2015;3;82.532
6;2;2015;4;82.532
6;2;2015;5;82.532
6;2;2015;6;95.868
6;2;2015;7;82.532
6;2;2015;8;148.324
6;2;2015;9;142.322
6;2;2015;10;148.32
6;2;2015;11;148.341
6;2;2015;12;148.345
6;2;2015;13;148.307
6;2;2015;14;148.312
6;2;2015;15;148.351
6;2;2015;16;142.322
6;2;2015;17;148.316
6;2;2015;18;142.322
6;2;2015;19;142.322
6;2;2015;20;142.322
6;2;2015;21;142.322
6;2;2015;22;142.322
6;2;2015;23;82.532
6;2;2015;24;94.089
7;2;2015;1;152.947
7;2;2015;2;152.947
7;2;2015;3;101.052
7;2;2015;4;92.914
7;2;2015;5;72.844
7;2;2015;6;72.844
7;2;2015;7;82.316
7;2;2015;8;152.947
7;2;2015;9;137.896
7;2;2015;10;137.896
7;2;2015;11;137.916
7;2;2015;12;137.896
7;2;2015;13;137.896
7;2;2015;14;137.916
7;2;2015;15;137.916
7;2;2015;16;137.896
7;2;2015;17;139.928
7;2;2015;18;137.896
7;2;2015;19;137.876
7;2;2015;20;137.876
7;2;2015;21;137.896
7;2;2015;22;137.876
7;2;2015;23;139.131
7;2;2015;24;95.431
8;2;2015;1;102.959
8;2;2015;2;82.532
8;2;2015;3;74.823
8;2;2015;4;82.532
8;2;2015;5;82.532
8;2;2015;6;75.702
8;2;2015;7;73.949
8;2;2015;8;82.532
8;2;2015;9;99.311
